Locus_name,Model,Run_time
UCE-2794,Single,112.072737
UCE-2794,Mixture,332.3255
UCE-5087,Single,59.42148
UCE-5087,Mixture,245.3351
UCE-3079,Single,17.179806
UCE-3079,Mixture,87.22605
UCE-4081,Single,500.583586
UCE-4081,Mixture,566.3993
UCE-6065,Single,12.550005
UCE-6065,Mixture,33.03686
UCE-4067,Single,443.475447
UCE-4067,Mixture,317.6265
UCE-1163,Single,564.863425
UCE-1163,Mixture,444.6104
UCE-1969,Single,14.908497
UCE-1969,Mixture,42.63849
UCE-3642,Single,1106.003887
UCE-3642,Mixture,437.6937
UCE-4414,Single,144.912082
UCE-4414,Mixture,322.7072
UCE-238,Single,647.819694
UCE-238,Mixture,559.1527
UCE-5202,Single,234.697772
UCE-5202,Mixture,500.3628
UCE-3689,Single,50.841448
UCE-3689,Mixture,113.0078
UCE-3348,Single,346.42993
UCE-3348,Mixture,1644.771
UCE-5811,Single,26.907018
UCE-5811,Mixture,244.9902
UCE-1201,Single,336.600781
UCE-1201,Mixture,222.7477
UCE-1981,Single,10.288745
UCE-1981,Mixture,39.3599
UCE-3122,Single,382.018332
UCE-3122,Mixture,359.5657
UCE-438,Single,206.868989
UCE-438,Mixture,596.167
UCE-5987,Single,686.795099
UCE-5987,Mixture,822.543
UCE-3167,Single,52.86667
UCE-3167,Mixture,120.3838
UCE-6579,Single,20.634864
UCE-6579,Mixture,92.81951
UCE-280,Single,9.103944
UCE-280,Mixture,33.41699
UCE-2036,Single,571.390521
UCE-2036,Mixture,989.1846
UCE-7981,Single,701.558291
UCE-7981,Mixture,1288.366
UCE-5130,Single,13.048302
UCE-5130,Mixture,146.0089
UCE-5639,Single,1510.072531
UCE-5639,Mixture,2551.616
UCE-7656,Single,13.029294
UCE-7656,Mixture,24.07424
UCE-2433,Single,172.762215
UCE-2433,Mixture,560.1811
UCE-6718,Single,454.817754
UCE-6718,Mixture,894.5702
UCE-1288,Single,21.408422
UCE-1288,Mixture,68.43738
UCE-7097,Single,421.143669
UCE-7097,Mixture,1066.641
UCE-5936,Single,541.822555
UCE-5936,Mixture,573.2432
UCE-3049,Single,873.503169
UCE-3049,Mixture,604.1059
UCE-3836,Single,321.173008
UCE-3836,Mixture,808.5979
UCE-2122,Single,334.790163
UCE-2122,Mixture,567.6396
UCE-5029,Single,33.322528
UCE-5029,Mixture,71.92626
UCE-4676,Single,252.595011
UCE-4676,Mixture,510.5762
UCE-6152,Single,31.212748
UCE-6152,Mixture,210.812
UCE-5759,Single,281.879737
UCE-5759,Mixture,764.6656
UCE-4705,Single,56.416199
UCE-4705,Mixture,154.8039
UCE-3046,Single,1096.57921
UCE-3046,Mixture,962.7338
UCE-6094,Single,658.259796
UCE-6094,Mixture,603.3071
UCE-5829,Single,24.850497
UCE-5829,Mixture,118.9966
UCE-4816,Single,45.048871
UCE-4816,Mixture,340.995
UCE-7665,Single,303.515368
UCE-7665,Mixture,601.0685
UCE-6323,Single,24.900992
UCE-6323,Mixture,73.3552
UCE-4036,Single,1008.16785
UCE-4036,Mixture,557.3946
UCE-976,Single,545.85885
UCE-976,Mixture,439.3497
UCE-907,Single,220.426695
UCE-907,Mixture,909.3585
UCE-5227,Single,68.029044
UCE-5227,Mixture,163.6163
UCE-1986,Single,1390.434541
UCE-1986,Mixture,796.5367
UCE-7460,Single,24.535978
UCE-7460,Mixture,53.05652
UCE-6617,Single,24.610006
UCE-6617,Mixture,137.3124
UCE-6351,Single,33.835612
UCE-6351,Mixture,160.0901
UCE-4498,Single,21.512593
UCE-4498,Mixture,82.91703
UCE-2582,Single,881.887743
UCE-2582,Mixture,1012.873
UCE-7621,Single,15.136512
UCE-7621,Mixture,44.3482
UCE-5263,Single,253.31056
UCE-5263,Mixture,504.0469
UCE-7160,Single,281.144826
UCE-7160,Mixture,547.4897
UCE-2812,Single,191.371209
UCE-2812,Mixture,1235.926
UCE-4854,Single,651.037092
UCE-4854,Mixture,572.7966
UCE-914,Single,2110.558676
UCE-914,Mixture,1168.762
UCE-3303,Single,210.43359
UCE-3303,Mixture,308.0766
UCE-825,Single,30.842687
UCE-825,Mixture,115.9333
UCE-1050,Single,202.386518
UCE-1050,Mixture,389.9885
UCE-2069,Single,904.217404
UCE-2069,Mixture,1310.355
UCE-4544,Single,392.405204
UCE-4544,Mixture,997.4823
UCE-5968,Single,164.802112
UCE-5968,Mixture,373.1966
UCE-393,Single,216.038082
UCE-393,Mixture,577.1302
UCE-2927,Single,194.023206
UCE-2927,Mixture,451.607
UCE-5311,Single,1220.797269
UCE-5311,Mixture,1134.318
UCE-2210,Single,236.749531
UCE-2210,Mixture,569.004
UCE-1922,Single,80.948071
UCE-1922,Mixture,54.18183
UCE-2094,Single,21.53262
UCE-2094,Mixture,71.04863
UCE-6229,Single,355.466332
UCE-6229,Mixture,597.4363
UCE-1634,Single,663.575288
UCE-1634,Mixture,1095.269
UCE-4760,Single,23.04367
UCE-4760,Mixture,87.56053
UCE-6994,Single,35.428591
UCE-6994,Mixture,105.123
UCE-1826,Single,13.118439
UCE-1826,Mixture,34.62842
UCE-6440,Single,973.114773
UCE-6440,Mixture,1155.672
UCE-3499,Single,16.305536
UCE-3499,Mixture,80.61434
UCE-1800,Single,27.230188
UCE-1800,Mixture,103.5171
UCE-6801,Single,19.531389
UCE-6801,Mixture,137.374
UCE-7303,Single,2300.329046
UCE-7303,Mixture,504.741
UCE-620,Single,380.436847
UCE-620,Mixture,636.427
UCE-893,Single,342.469332
UCE-893,Mixture,1429.294
UCE-7012,Single,143.963846
UCE-7012,Mixture,283.3339
UCE-6339,Single,412.294311
UCE-6339,Mixture,438.0277
UCE-7,Single,13.760594
UCE-7,Mixture,33.36661
UCE-3003,Single,67.382295
UCE-3003,Mixture,283.7845
UCE-6826,Single,166.123084
UCE-6826,Mixture,664.5717
UCE-3463,Single,146.840657
UCE-3463,Mixture,778.8044
UCE-5102,Single,1750.416186
UCE-5102,Mixture,1043.899
UCE-463,Single,230.911038
UCE-463,Mixture,569.8679
UCE-2790,Single,15.567998
UCE-2790,Mixture,66.89686
UCE-3861,Single,15.602905
UCE-3861,Mixture,88.77194
UCE-4672,Single,21.647665
UCE-4672,Mixture,386.3952
UCE-4850,Single,143.312087
UCE-4850,Mixture,422.1078
UCE-7287,Single,493.012289
UCE-7287,Mixture,342.2099
UCE-6820,Single,19.700261
UCE-6820,Mixture,63.91263
UCE-3179,Single,206.197868
UCE-3179,Mixture,1367.306
UCE-3180,Single,10.624227
UCE-3180,Mixture,36.02708
UCE-2303,Single,24.920562
UCE-2303,Mixture,260.7724
UCE-5609,Single,523.963811
UCE-5609,Mixture,1144.838
UCE-5892,Single,9.444811
UCE-5892,Mixture,69.2569
UCE-2357,Single,41.659134
UCE-2357,Mixture,227.1729
UCE-2379,Single,18.587142
UCE-2379,Mixture,64.75582
UCE-1143,Single,216.937014
UCE-1143,Mixture,776.5222
UCE-2889,Single,7.100867
UCE-2889,Mixture,37.10374
UCE-190,Single,230.725491
UCE-190,Mixture,495.7609
UCE-5494,Single,1078.231857
UCE-5494,Mixture,1396.498
UCE-3812,Single,36.688385
UCE-3812,Mixture,41.9492
UCE-431,Single,17.568222
UCE-431,Mixture,93.09542
UCE-3658,Single,310.019099
UCE-3658,Mixture,823.8851
UCE-1678,Single,803.777351
UCE-1678,Mixture,683.6642
UCE-6393,Single,10.363589
UCE-6393,Mixture,48.12416
UCE-5343,Single,26.310486
UCE-5343,Mixture,85.38383
UCE-851,Single,611.164748
UCE-851,Mixture,821.6072
UCE-3539,Single,1135.030779
UCE-3539,Mixture,1383.55
UCE-5129,Single,1383.071852
UCE-5129,Mixture,1354.834
UCE-4305,Single,8.860506
UCE-4305,Mixture,27.70987
UCE-7970,Single,13.05254
UCE-7970,Mixture,60.93488
UCE-1059,Single,253.270982
UCE-1059,Mixture,379.2568
UCE-3309,Single,566.567623
UCE-3309,Mixture,714.4932
UCE-3387,Single,274.286121
UCE-3387,Mixture,259.5985
UCE-2177,Single,23.734891
UCE-2177,Mixture,53.49932
UCE-609,Single,365.658072
UCE-609,Mixture,2274.367
UCE-7361,Single,495.77981
UCE-7361,Mixture,376.6192
UCE-2446,Single,569.080114
UCE-2446,Mixture,974.2165
UCE-1239,Single,152.384034
UCE-1239,Mixture,761.1198
UCE-3879,Single,316.339015
UCE-3879,Mixture,483.2693
UCE-7958,Single,441.381686
UCE-7958,Mixture,475.7864
UCE-4285,Single,37.873035
UCE-4285,Mixture,333.6378
UCE-5598,Single,47.380234
UCE-5598,Mixture,87.39986
UCE-7709,Single,43.708708
UCE-7709,Mixture,241.3019
UCE-5459,Single,6.272961
UCE-5459,Mixture,26.81237
UCE-2585,Single,82.250029
UCE-2585,Mixture,101.6216
UCE-7774,Single,270.150902
UCE-7774,Mixture,548.0481
UCE-1209,Single,122.210284
UCE-1209,Mixture,170.3324
UCE-5532,Single,173.855523
UCE-5532,Mixture,524.4938
UCE-2230,Single,25.451792
UCE-2230,Mixture,115.2783
UCE-7685,Single,131.012891
UCE-7685,Mixture,396.3979
UCE-1430,Single,20.598219
UCE-1430,Mixture,67.36243
UCE-740,Single,116.961988
UCE-740,Mixture,369.4816
UCE-7490,Single,591.457617
UCE-7490,Mixture,792.7169
UCE-4555,Single,409.65488
UCE-4555,Mixture,422.5906
UCE-388,Single,636.326902
UCE-388,Mixture,706.1411
UCE-2063,Single,433.654613
UCE-2063,Mixture,730.9875
UCE-2595,Single,12.18548
UCE-2595,Mixture,37.33019
UCE-1705,Single,18.503108
UCE-1705,Mixture,43.4428
UCE-6534,Single,410.494867
UCE-6534,Mixture,667.1919
UCE-5396,Single,995.35957
UCE-5396,Mixture,564.4612
UCE-712,Single,102.278098
UCE-712,Mixture,295.0055
UCE-5011,Single,10.353104
UCE-5011,Mixture,63.74686
UCE-1334,Single,140.216804
UCE-1334,Mixture,631.9547
UCE-4208,Single,239.80115
UCE-4208,Mixture,369.084
UCE-7201,Single,1211.382622
UCE-7201,Mixture,595.2863
UCE-3291,Single,19.817673
UCE-3291,Mixture,153.2365
UCE-5920,Single,222.405082
UCE-5920,Mixture,1112.838
UCE-4205,Single,467.376512
UCE-4205,Mixture,376.5054
UCE-7940,Single,14.06437
UCE-7940,Mixture,56.68375
UCE-780,Single,103.960634
UCE-780,Mixture,862.5018
UCE-8046,Single,3266.624463
UCE-8046,Mixture,814.9471
UCE-3233,Single,843.632545
UCE-3233,Mixture,1496.156
UCE-3077,Single,325.593396
UCE-3077,Mixture,634.308
UCE-5586,Single,232.776973
UCE-5586,Mixture,1174.119
UCE-3718,Single,12.206376
UCE-3718,Mixture,34.20126
UCE-3312,Single,165.109551
UCE-3312,Mixture,659.7933
UCE-5205,Single,11.596627
UCE-5205,Mixture,48.14545
UCE-6005,Single,260.541194
UCE-6005,Mixture,470.4453
UCE-2276,Single,624.481897
UCE-2276,Mixture,643.705
UCE-4021,Single,143.500588
UCE-4021,Mixture,247.261
UCE-5478,Single,133.588847
UCE-5478,Mixture,668.4522
UCE-6778,Single,21.735082
UCE-6778,Mixture,63.20529
UCE-4295,Single,152.539286
UCE-4295,Mixture,429.638
UCE-1671,Single,248.91859
UCE-1671,Mixture,572.7294
UCE-5123,Single,39.177071
UCE-5123,Mixture,223.5128
UCE-7227,Single,32.476847
UCE-7227,Mixture,59.43766
UCE-5914,Single,1455.107572
UCE-5914,Mixture,719.7887
UCE-7913,Single,410.029013
UCE-7913,Mixture,1380.895
UCE-4443,Single,236.028356
UCE-4443,Mixture,1074.117
UCE-4707,Single,369.347099
UCE-4707,Mixture,893.5153
UCE-615,Single,17.058701
UCE-615,Mixture,93.42325
UCE-1217,Single,1011.883565
UCE-1217,Mixture,67.17179
UCE-6823,Single,134.588662
UCE-6823,Mixture,197.0223
UCE-5524,Single,27.315878
UCE-5524,Mixture,146.2386
UCE-1420,Single,893.214072
UCE-1420,Mixture,629.8168
UCE-1864,Single,26.301523
UCE-1864,Mixture,78.46608
UCE-965,Single,11.505883
UCE-965,Mixture,77.74158
UCE-7910,Single,41.408893
UCE-7910,Mixture,212.6402
UCE-599,Single,999.93691
UCE-599,Mixture,2311.357
UCE-3557,Single,530.5833
UCE-3557,Mixture,437.1893
UCE-87,Single,33.418674
UCE-87,Mixture,246.5695
UCE-7463,Single,1983.67188
UCE-7463,Mixture,1500.949
UCE-351,Single,187.619121
UCE-351,Mixture,371.8578
UCE-2928,Single,721.370887
UCE-2928,Mixture,781.7429
UCE-2064,Single,471.595474
UCE-2064,Mixture,613.7602
UCE-3606,Single,777.222432
UCE-3606,Mixture,1080.523
UCE-15,Single,239.322976
UCE-15,Mixture,445.4157
UCE-876,Single,44.860791
UCE-876,Mixture,43.83652
UCE-2146,Single,1256.251965
UCE-2146,Mixture,1322.406
UCE-7819,Single,25.059097
UCE-7819,Mixture,110.1998
UCE-5083,Single,311.904197
UCE-5083,Mixture,414.9004
UCE-2129,Single,1820.211893
UCE-2129,Mixture,972.6454
UCE-4211,Single,278.584031
UCE-4211,Mixture,341.9799
UCE-3871,Single,217.47561
UCE-3871,Mixture,358.6485
UCE-4433,Single,11.451287
UCE-4433,Mixture,55.75604
UCE-7131,Single,20.234608
UCE-7131,Mixture,78.1825
UCE-5238,Single,291.315132
UCE-5238,Mixture,468.6069
UCE-6578,Single,32.124534
UCE-6578,Mixture,113.5633
UCE-4009,Single,250.996421
UCE-4009,Mixture,620.1298
UCE-5387,Single,1486.219359
UCE-5387,Mixture,901.7026
UCE-6329,Single,327.384694
UCE-6329,Mixture,525.5922
UCE-2320,Single,28.630901
UCE-2320,Mixture,222.8227
UCE-4320,Single,182.648335
UCE-4320,Mixture,375.003
UCE-5593,Single,23.819013
UCE-5593,Mixture,192.8057
UCE-5190,Single,184.040648
UCE-5190,Mixture,892.3365
UCE-1982,Single,19.492539
UCE-1982,Mixture,95.88172
UCE-4616,Single,225.065642
UCE-4616,Mixture,337.4697
UCE-5521,Single,230.301517
UCE-5521,Mixture,317.0474
UCE-3445,Single,177.345496
UCE-3445,Mixture,540.4944
UCE-6765,Single,744.357671
UCE-6765,Mixture,1685.659
UCE-7336,Single,400.164913
UCE-7336,Mixture,757.6172
UCE-3494,Single,22.696157
UCE-3494,Mixture,67.71993
UCE-2291,Single,1005.032133
UCE-2291,Mixture,1957.282
UCE-3217,Single,670.462981
UCE-3217,Mixture,1525.638
UCE-1304,Single,411.650589
UCE-1304,Mixture,222.0941
UCE-5277,Single,199.698418
UCE-5277,Mixture,329.2085
UCE-5295,Single,198.437993
UCE-5295,Mixture,1532.448
UCE-7247,Single,26.255042
UCE-7247,Mixture,58.78219
UCE-1027,Single,18.963635
UCE-1027,Mixture,94.86524
UCE-1540,Single,144.726706
UCE-1540,Mixture,377.0364
UCE-5573,Single,756.621827
UCE-5573,Mixture,725.3917
UCE-7889,Single,523.497286
UCE-7889,Mixture,538.2281
UCE-6147,Single,24.605933
UCE-6147,Mixture,135.5146
UCE-3349,Single,32.342409
UCE-3349,Mixture,81.37107
UCE-3082,Single,475.466849
UCE-3082,Mixture,340.9777
UCE-6610,Single,129.688878
UCE-6610,Mixture,344.2525
UCE-3734,Single,55.363094
UCE-3734,Mixture,405.6775
UCE-3497,Single,6.415768
UCE-3497,Mixture,41.23845
UCE-7324,Single,2031.897403
UCE-7324,Mixture,877.1387
UCE-850,Single,103.557382
UCE-850,Mixture,547.0863
UCE-5923,Single,241.747177
UCE-5923,Mixture,1282.093
UCE-6719,Single,24.593207
UCE-6719,Mixture,73.18298
UCE-2746,Single,446.231384
UCE-2746,Mixture,438.7926
UCE-4504,Single,779.730675
UCE-4504,Mixture,641.6687
UCE-5859,Single,29.128566
UCE-5859,Mixture,115.6759
UCE-5272,Single,771.009994
UCE-5272,Mixture,728.8036
UCE-3810,Single,12.727427
UCE-3810,Mixture,62.59592
UCE-6258,Single,19.102039
UCE-6258,Mixture,99.68506
UCE-7219,Single,419.360832
UCE-7219,Mixture,733.0664
UCE-7829,Single,233.426527
UCE-7829,Mixture,538.9055
UCE-1230,Single,12.242887
UCE-1230,Mixture,78.67096
UCE-353,Single,38.692799
UCE-353,Mixture,302.8504
UCE-326,Single,2289.952884
UCE-326,Mixture,1298.876
UCE-88,Single,10.119067
UCE-88,Mixture,44.4777
UCE-7787,Single,10.205673
UCE-7787,Mixture,22.37459
UCE-4371,Single,19.317079
