Locus_name,Model,Run_time
UCE-2794,Single,70.559844
UCE-2794,Mixture,451.5755
UCE-5087,Single,21.13931
UCE-5087,Mixture,85.16686
UCE-3079,Single,12.298784
UCE-3079,Mixture,39.74649
UCE-4081,Single,68.710117
UCE-4081,Mixture,52.67638
UCE-6065,Single,8.386062
UCE-6065,Mixture,28.99102
UCE-4067,Single,23.84089
UCE-4067,Mixture,53.12578
UCE-1163,Single,403.73863
UCE-1163,Mixture,605.6486
UCE-1969,Single,7.041618
UCE-1969,Mixture,31.30359
UCE-3642,Single,112.728749
UCE-3642,Mixture,61.72548
UCE-4414,Single,186.406451
UCE-4414,Mixture,478.2509
UCE-238,Single,141.747588
UCE-238,Mixture,329.2243
UCE-5202,Single,8.147475
UCE-5202,Mixture,26.87787
UCE-3689,Single,53.031257
UCE-3689,Mixture,126.863
UCE-3348,Single,44.978177
UCE-3348,Mixture,60.16882
UCE-5811,Single,16.589306
UCE-5811,Mixture,57.63504
UCE-1201,Single,18.37401
UCE-1201,Mixture,25.94286
UCE-1981,Single,2.788486
UCE-1981,Mixture,8.357407
UCE-3122,Single,12.564522
UCE-3122,Mixture,13.17375
UCE-438,Single,40.164938
UCE-438,Mixture,92.76386
UCE-5987,Single,20.179035
UCE-5987,Mixture,37.71487
UCE-3167,Single,25.391235
UCE-3167,Mixture,18.68641
UCE-6579,Single,9.344995
UCE-6579,Mixture,61.41727
UCE-280,Single,7.619845
UCE-280,Mixture,29.51178
UCE-2036,Single,40.868337
UCE-2036,Mixture,43.56688
UCE-7981,Single,158.117581
UCE-7981,Mixture,79.17118
UCE-5130,Single,6.212386
UCE-5130,Mixture,65.50015
UCE-5639,Single,114.817085
UCE-5639,Mixture,105.953
UCE-7656,Single,7.631228
UCE-7656,Mixture,19.36211
UCE-2433,Single,25.930919
UCE-2433,Mixture,209.9254
UCE-6718,Single,262.012397
UCE-6718,Mixture,93.20452
UCE-1288,Single,10.80418
UCE-1288,Mixture,31.65477
UCE-7097,Single,42.095142
UCE-7097,Mixture,65.09687
UCE-5936,Single,68.264529
UCE-5936,Mixture,57.54438
UCE-3049,Single,49.393016
UCE-3049,Mixture,49.85915
UCE-3836,Single,27.932736
UCE-3836,Mixture,73.48353
UCE-2122,Single,11.335673
UCE-2122,Mixture,73.70595
UCE-5029,Single,18.873106
UCE-5029,Mixture,81.11968
UCE-4676,Single,26.116676
UCE-4676,Mixture,40.00264
UCE-6152,Single,7.780228
UCE-6152,Mixture,144.6677
UCE-5759,Single,27.837467
UCE-5759,Mixture,105.3704
UCE-4705,Single,38.471854
UCE-4705,Mixture,116.825
UCE-3046,Single,187.167923
UCE-3046,Mixture,60.4662
UCE-6094,Single,477.117174
UCE-6094,Mixture,734.2071
UCE-5829,Single,15.856825
UCE-5829,Mixture,61.43122
UCE-4816,Single,28.854915
UCE-4816,Mixture,172.4187
UCE-7665,Single,19.449596
UCE-7665,Mixture,35.40968
UCE-6323,Single,12.822912
