Locus_name,Model,Run_time
UCE-6028,Single,3.457912
UCE-6028,Mixture,17.00254
UCE-1581,Single,9.012341
UCE-1581,Mixture,54.23902
UCE-146,Single,491.208169
UCE-146,Mixture,493.2057
UCE-662,Single,3459.911028
UCE-662,Mixture,1610.626
UCE-5834,Single,201.053104
UCE-5834,Mixture,224.6103
UCE-2843,Single,280.104224
UCE-2843,Mixture,691.6739
UCE-7136,Single,488.711493
UCE-7136,Mixture,950.8085
UCE-4881,Single,20.117741
UCE-4881,Mixture,222.1774
UCE-2353,Single,554.502644
UCE-2353,Mixture,2149.866
UCE-7682,Single,44.079091
UCE-7682,Mixture,744.572
UCE-3262,Single,471.371825
UCE-3262,Mixture,548.1365
UCE-5210,Single,137.00968
UCE-5210,Mixture,189.8153
UCE-6135,Single,489.818725
UCE-6135,Mixture,979.4559
UCE-1478,Single,1251.657528
UCE-1478,Mixture,619.9668
UCE-6555,Single,2037.505817
UCE-6555,Mixture,712.2489
UCE-7080,Single,4892.837813
UCE-7080,Mixture,2104.393
UCE-4769,Single,16.434235
UCE-4769,Mixture,72.7957
UCE-2489,Single,261.520053
UCE-2489,Mixture,574.9385
UCE-7650,Single,1432.572527
UCE-7650,Mixture,2067.834
UCE-519,Single,201.369149
UCE-519,Mixture,302.0954
UCE-1897,Single,1323.044945
UCE-1897,Mixture,573.8855
UCE-251,Single,16.728747
UCE-251,Mixture,28.51713
UCE-1270,Single,10.909475
UCE-1270,Mixture,44.53349
UCE-6214,Single,44.542284
UCE-6214,Mixture,320.5406
UCE-932,Single,11.087383
UCE-932,Mixture,61.93082
UCE-4101,Single,497.166805
UCE-4101,Mixture,676.6782
UCE-276,Single,556.434184
UCE-276,Mixture,813.6317
UCE-1245,Single,690.788326
UCE-1245,Mixture,483.6192
UCE-4840,Single,1245.865985
UCE-4840,Mixture,993.9846
UCE-1173,Single,289.367371
UCE-1173,Mixture,255.5386
UCE-3930,Single,25.652941
UCE-3930,Mixture,72.48113
UCE-2030,Single,7.167599
UCE-2030,Mixture,49.60484
UCE-2303,Single,19.267438
