"Locus_name","tree_1","tree_2","RF_distance","nRF_distance","wRF_distance","KF_distance","SPR_distance","path_distance","geodesic_distance"
"UCE-1026","One_class","Mixture",0,0,0.0842,0.0382,0,0.1733,NA
"UCE-1025","One_class","Mixture",0,0,0.2292,0.0932,0,0.6477,NA
"UCE-1029","One_class","Mixture",0,0,0.0284,0.0085,0,0.0427,NA
"UCE-102","One_class","Mixture",0,0,0.1391,0.0503,0,0.4365,NA
"UCE-1031","One_class","Mixture",0,0,0.0488,0.0147,0,0.1331,NA
"UCE-1027","One_class","Mixture",0,0,0.157,0.0721,0,0.4996,NA
"UCE-1035","One_class","Mixture",0,0,0.3245,0.0957,0,1.0447,NA
"UCE-1013","One_class","Mixture",6,0.1765,0.9339,0.2907,1,2.0334,NA
"UCE-1012","One_class","Mixture",16,0.1212,0.1396,0.0436,4,0.4215,NA
"UCE-1021","One_class","Mixture",68,0.6415,0.4929,0.0907,14,1.9927,NA
"UCE-1014","One_class","Mixture",28,0.2373,0.4141,0.0767,7,1.0305,NA
"UCE-1004","One_class","Mixture",54,0.4737,0.3851,0.0988,10,0.8248,NA
"UCE-1018","One_class","Mixture",52,0.5,0.8142,0.2261,9,1.8346,NA
"UCE-1034","One_class","Mixture",28,0.2545,0.2835,0.1004,7,0.4661,NA
"UCE-1003","One_class","Mixture",20,0.1471,0.0812,0.0236,5,0.1944,NA
"UCE-1005","One_class","Mixture",34,0.2615,0.1844,0.0401,7,0.3226,NA
"UCE-1010","One_class","Mixture",52,0.4127,0.6332,0.1064,11,1.1594,NA
"UCE-1037","One_class","Mixture",0,0,0.1425,0.0499,0,0.6186,NA
"UCE-1036","One_class","Mixture",18,0.1579,0.5147,0.1293,5,1.0836,NA
"UCE-103","One_class","Mixture",0,0,0.0039,0.0012,0,0.0052,NA
"UCE-101","One_class","Mixture",78,0.4643,0.5689,0.11,14,1.1341,NA
"UCE-1040","One_class","Mixture",28,0.3182,0.0689,0.0287,7,0.1359,NA
"UCE-1008","One_class","Mixture",24,0.1519,0.7052,0.1443,4,1.4566,NA
"UCE-1043","One_class","Mixture",8,0.1026,0.0046,0.001,2,0.0132,NA
"UCE-1048","One_class","Mixture",26,0.2241,0.6247,0.2528,4,1.7922,NA
"UCE-1044","One_class","Mixture",78,0.661,1.5241,0.3472,16,4.4668,NA
"UCE-1038","One_class","Mixture",100,0.5814,0.4823,0.0896,14,1.243,NA
"UCE-1050","One_class","Mixture",34,0.2787,0.1234,0.0234,9,0.1896,NA
"UCE-1039","One_class","Mixture",30,0.2143,0.1905,0.0337,8,0.6107,NA
"UCE-1058","One_class","Mixture",0,0,0.0019,6e-04,0,0.0035,NA
"UCE-1051","One_class","Mixture",18,0.1429,0.0747,0.0285,4,0.1431,NA
"UCE-1054","One_class","Mixture",40,0.3846,1.2397,0.3239,8,2.8831,NA
"UCE-1055","One_class","Mixture",18,0.1731,0.0388,0.0124,5,0.0853,NA
