"Locus_name","tree_1","tree_2","RF_distance","nRF_distance","wRF_distance","KF_distance","SPR_distance","path_distance","geodesic_distance"
"UCE-1004","One_class","Mixture",42,0.3684,0.27,0.0874,8,0.6194,NA
"UCE-1003","One_class","Mixture",26,0.1912,0.6178,0.1075,6,2.8469,NA
"UCE-1010","One_class","Mixture",28,0.2222,0.3287,0.0814,6,1.2034,NA
"UCE-1005","One_class","Mixture",42,0.3231,1.0733,0.2923,8,2.1354,NA
"UCE-1008","One_class","Mixture",10,0.0633,0.3243,0.0579,4,0.8222,NA
"UCE-1013","One_class","Mixture",8,0.2353,1.106,0.3312,1,2.2597,NA
"UCE-1012","One_class","Mixture",44,0.3333,0.3586,0.0759,6,0.6696,NA
"UCE-1014","One_class","Mixture",42,0.3559,0.7441,0.1528,8,1.1288,NA
"UCE-1018","One_class","Mixture",48,0.4615,1.4066,0.3054,9,2.4045,NA
"UCE-101","One_class","Mixture",104,0.619,1.8047,0.3713,15,3.3639,NA
"UCE-1025","One_class","Mixture",0,0,0.2299,0.0936,0,0.6485,NA
"UCE-1021","One_class","Mixture",70,0.6604,0.8091,0.1717,14,3.6647,NA
"UCE-1026","One_class","Mixture",0,0,0.0876,0.0397,0,0.1824,NA
"UCE-1027","One_class","Mixture",0,0,0.3644,0.1588,0,1.325,NA
"UCE-102","One_class","Mixture",0,0,0.1046,0.0329,0,0.2995,NA
"UCE-1029","One_class","Mixture",0,0,0.0277,0.0082,0,0.0418,NA
"UCE-1031","One_class","Mixture",2,0.0588,0.5022,0.1529,1,1.5758,NA
"UCE-1035","One_class","Mixture",0,0,0.1225,0.0354,0,0.3221,NA
"UCE-1034","One_class","Mixture",28,0.2545,0.6527,0.1612,7,2.2122,NA
"UCE-1037","One_class","Mixture",2,0.0588,0.1628,0.055,1,0.6775,NA
"UCE-1036","One_class","Mixture",26,0.2281,0.8048,0.1699,7,1.1778,NA
"UCE-103","One_class","Mixture",0,0,0.0043,0.0014,0,0.0064,NA
"UCE-1040","One_class","Mixture",30,0.3409,0.3083,0.0978,7,0.4246,NA
"UCE-1041","One_class","Mixture",94,0.7231,5.0598,1.1882,21,19.7843,NA
"UCE-1043","One_class","Mixture",10,0.1282,0.0071,0.0017,3,0.0137,NA
"UCE-1044","One_class","Mixture",86,0.7288,2.8276,0.5735,16,5.6552,NA
"UCE-1048","One_class","Mixture",4,0.0345,0.0426,0.0122,2,0.0926,NA
"UCE-1050","One_class","Mixture",72,0.5902,0.8988,0.1614,13,1.4686,NA
"UCE-1051","One_class","Mixture",62,0.4921,1.2341,0.3199,6,3.5174,NA
"UCE-1052","One_class","Mixture",50,0.266,0.322,0.0724,10,0.6229,NA
"UCE-1054","One_class","Mixture",38,0.3654,1.3941,0.3655,8,2.9421,NA
"UCE-1055","One_class","Mixture",10,0.0962,0.0242,0.0119,3,0.0888,NA
"UCE-1053","One_class","Mixture",114,0.6064,1.7121,0.3169,25,5.683,NA
"UCE-1058","One_class","Mixture",0,0,0.0028,9e-04,0,0.0057,NA
"UCE-1056","One_class","Mixture",96,0.6234,7.2347,2.0222,18,16.9528,NA
"UCE-1059","One_class","Mixture",18,0.1698,0.152,0.0532,5,0.3079,NA
"UCE-1060","One_class","Mixture",12,0.1304,0.2129,0.0751,3,0.4609,NA
"UCE-1061","One_class","Mixture",72,0.5294,1.0818,0.2505,10,4.9936,NA
"UCE-1062","One_class","Mixture",68,0.6182,6.0395,1.6877,8,12.5735,NA
"UCE-1064","One_class","Mixture",28,0.3111,0.2495,0.0705,6,0.8259,NA
"UCE-1063","One_class","Mixture",76,0.4578,1.159,0.189,11,2.4988,NA
"UCE-1065","One_class","Mixture",0,0,0.2057,0.0559,0,0.5319,NA
"UCE-1068","One_class","Mixture",66,0.6111,1.6417,0.4079,14,3.5442,NA
"UCE-106","One_class","Mixture",4,0.1333,0.1093,0.0363,1,0.1269,NA
"UCE-1069","One_class","Mixture",54,0.4576,2.0399,0.4332,11,8.332,NA
"UCE-1070","One_class","Mixture",74,0.4744,1.1219,0.1898,8,1.866,NA
"UCE-1072","One_class","Mixture",10,0.098,0.048,0.0101,3,0.0889,NA
"UCE-1077","One_class","Mixture",36,0.2951,0.552,0.128,2,1.3693,NA
"UCE-1081","One_class","Mixture",22,0.2,0.084,0.0391,3,0.2055,NA
"UCE-1083","One_class","Mixture",0,0,0.0097,0.0028,0,0.0203,NA
"UCE-1084","One_class","Mixture",38,0.3519,0.3932,0.0623,8,0.6479,NA
"UCE-1088","One_class","Mixture",30,0.4412,0.3273,0.0972,7,0.9783,NA
"UCE-1085","One_class","Mixture",8,0.0702,0.0696,0.0191,3,0.2479,NA
"UCE-1090","One_class","Mixture",80,0.6349,4.5346,1.0047,15,12.0289,NA
"UCE-1092","One_class","Mixture",4,0.0513,0.1457,0.0349,1,0.6623,NA
"UCE-1093","One_class","Mixture",44,0.3333,0.1722,0.0403,10,0.4114,NA
"UCE-1094","One_class","Mixture",82,0.5,0.7951,0.1742,15,3.9802,NA
"UCE-1098","One_class","Mixture",62,0.378,0.9584,0.2153,10,3.407,NA
"UCE-1100","One_class","Mixture",0,0,0.0463,0.0145,0,0.1314,NA
"UCE-1101","One_class","Mixture",84,0.525,2.3592,0.4261,19,5.1367,NA
"UCE-1107","One_class","Mixture",34,0.2742,0.4281,0.1041,8,1.5333,NA
"UCE-1102","One_class","Mixture",34,0.3208,0.2187,0.0505,5,0.4441,NA
"UCE-110","One_class","Mixture",2,0.0588,0.0517,0.015,1,0.189,NA
"UCE-1119","One_class","Mixture",4,0.1176,0.1861,0.0652,1,0.3953,NA
"UCE-1110","One_class","Mixture",86,0.4725,1.6826,0.311,17,5.0621,NA
"UCE-111","One_class","Mixture",0,0,0.0378,0.0152,0,0.0813,NA
"UCE-1113","One_class","Mixture",14,0.1273,0.0926,0.0238,3,0.2676,NA
"UCE-1123","One_class","Mixture",0,0,0.0015,5e-04,0,0.0033,NA
"UCE-1120","One_class","Mixture",46,0.5349,1.5471,0.4358,10,3.8391,NA
"UCE-1121","One_class","Mixture",22,0.2157,0.7197,0.2383,4,1.9504,NA
"UCE-1122","One_class","Mixture",58,0.4915,1.5007,0.2467,10,2.6291,NA
"UCE-1127","One_class","Mixture",22,0.1964,0.2803,0.0632,3,0.841,NA
