"Model","Locus_name","Model_string","Rates","Likelihood","Unconstrained_likelihood","parameters","AIC","AICc","BIC","Best","Length","Ntaxa","Percent_constant","Percent_parsimony_informative","Site_patterns","RF_distance","nRF_distance","wRF_distance","KF_distance","PD_distance","wPD_distance","geodesic_distance","Tree_Length","Sum_int","prop_int","Min.","1st Qu.","Median","Mean","3rd Qu.","Max."
"Mixture","UCE-1026","MIX{HKY+FO,JC+FO}+R2","R2",-6036.228,-4539.6011,"HKY{5.57123}+FO{0.324959,0.227521,0.184491,0.263029};JC",12124.456,12125.9155,12251.77,"Mixture",989,11,0.507583417593529,"34.48%",484,4,0.25,18.533,4.9148,6.4807,34.7813,NA,"1.7615","0.4191","0.2379","0.0109","0.0349","0.0577","0.0905","0.1218","0.347"
"One_class","UCE-1026","TPM2u+F+R2","R2",-6043.4154,-4539.6011,"TPM2u{0.7098,2.7009,0.7098,1,2.7009,1}+F{0.3141,0.226,0.1903,0.2697}",12138.8308,12140.2902,12266.1448,"Mixture",989,11,0.507583417593529,"34.48%",484,2,0.125,18.4914,4.9166,4.899,34.7874,NA,"1.719","0.4369","0.2542","0.0113","0.0368","0.0574","0.0927","0.1252","0.3622"
"Mixture","UCE-1035","MIX{TPM2u+FO,TPM3u+FO}+R2","R2",-8462.9047,-5996.1442,"TPM2u{0.307406,1.53894}+FO{0.400049,0.219071,0.145464,0.235416};TPM3u{2.43242,6.39428}+FO{0.176734,0.100996,0.316787,0.405482}",17021.8094,17025.7002,17268.3987,"One_class",1258,19,0.496820349761526,"35.14%",630,4,0.125,33.2023,6.5696,11.1355,82.2072,NA,"2.8111","0.8963","0.3188","0.002","0.0174","0.0495","0.0747","0.1051","0.316"
"One_class","UCE-1035","TPM2u+F+R2","R2",-8483.5651,-5996.1442,"TPM2u{0.5523,2.2231,0.5523,1,2.2231,1}+F{0.3077,0.1845,0.2131,0.2947}",17051.1302,17054.103,17266.8958,"One_class",1258,19,0.496820349761526,"35.14%",630,4,0.125,33.3896,6.604,11.1355,82.861,NA,"2.6154","0.8067","0.3084","3e-04","0.0179","0.0517","0.0803","0.1097","0.3507"
"Mixture","UCE-1031","MIX{TPM3u+FO,F81+FO}+I+R2","I+R2",-6934.3959,-4391.6521,"TPM3u{1.72155,3.83401}+FO{0.314055,0.178017,0.163857,0.344071};F81+FO{0.928736,0.00995576,0.0448972,0.0164108}",13962.7918,13967.3311,14195.39,"Mixture",1042,19,0.547024952015355,"33.49%",460,6,0.1875,33.6955,6.6355,14.7648,83.5426,NA,"2.2702","0.8143","0.3587","9e-04","0.0102","0.02","0.0545","0.0903","0.2621"
"One_class","UCE-1031","TVM+F+G4","G4",-6953.4463,-4391.6521,"TVM{0.8876,2.6437,0.5063,1.3975,2.6437,1}+F{0.3902,0.163,0.1346,0.3121}",13992.8927,13996.6843,14205.6953,"Mixture",1042,19,0.547024952015355,"33.49%",460,6,0.1875,34.0461,6.7011,14.7648,84.5012,NA,"1.9083","0.6691","0.3506","9e-04","0.011","0.0227","0.0649","0.1076","0.3226"
"Mixture","UCE-1027","MIX{TIM+FO,JC+FO,K80+FO}+R2","R2",-8689.4387,-5629.7325,"TIM{2.89286,0.386816,1.51202}+FO{0.324727,0.167686,0.12802,0.379567};JC;K2P{9.20251}+FQ",17466.8774,17471.2628,17680.469,"Mixture",948,18,0.264767932489451,"56.22%",694,10,0.3333,31.928,6.3944,19.8997,77.0009,NA,"3.1242","1.3675","0.4377","0.0021","0.0178","0.0318","0.0903","0.1296","0.7072"
"One_class","UCE-1027","TIM+F+R2","R2",-8701.2213,-5629.7325,"TIM{1,3.3642,0.6511,0.6511,2.365,1}+F{0.2979,0.2018,0.1728,0.3275}",17484.4427,17488.244,17683.4712,"Mixture",948,18,0.264767932489451,"56.22%",694,10,0.3333,32.0863,6.4254,19.8997,77.4162,NA,"2.9809","1.2726","0.4269","0.0021","0.0177","0.0314","0.0947","0.1331","0.7872"
"Mixture","UCE-1029","TPM3u+FO+R2","R2",-4213.1711,-3522.5826,"TPM3u{1.7991,4.0047,1,1.7991,4.0047,1}+FO{0.2879,0.1558,0.1703,0.3861}",8498.3421,8501.0633,8675.5928,"Mixture",1016,16,0.729330708661417,"18.60%",258,8,0.3077,31.6834,6.7648,19.1833,71.9232,NA,"0.7477","0.2956","0.3953","0","0.0059","0.0131","0.0255","0.0326","0.1154"
"One_class","UCE-1029","TPM3u+F+R2","R2",-4217.3359,-3522.5826,"TPM3u{1.8689,4.1399,1,1.8689,4.1399,1}+F{0.2993,0.1577,0.1447,0.3982}",8506.6719,8509.393,8683.9225,"Mixture",1016,16,0.729330708661417,"18.60%",258,10,0.3846,31.6947,6.7665,19.8997,71.9416,NA,"0.7404","0.2924","0.3949","0","0.0059","0.0131","0.0258","0.0333","0.1173"
"Mixture","UCE-1013","MIX{K3Pu+FO,F81+FO}+I+R2","I+R2",-11493.264,-5926.2255,"K3Pu{2.02236,0.633399}+FO{0.245582,0.211083,0.192563,0.350772};F81+FO{0.5893,0.0829491,0.274114,0.0536367}",23080.5279,23085.1747,23312.077,"Mixture",1019,19,0.256133464180569,"63.79%",739,8,0.25,31.0638,6.072,19.5448,77.1144,NA,"5.3223","1.8152","0.3411","0.0026","0.0317","0.0592","0.1376","0.2377","0.5362"
"One_class","UCE-1013","TVM+F+I+R2","I+R2",-11521.0375,-5926.2255,"TVM{0.8793,2.1787,0.4238,0.9068,2.1787,1}+F{0.3309,0.1749,0.1829,0.3113}",23132.075,23136.3299,23353.771,"Mixture",1019,19,0.256133464180569,"63.79%",739,8,0.25,31.5262,6.1655,13.5647,78.302,NA,"4.8176","1.4952","0.3104","0.0028","0.0306","0.0613","0.1521","0.262","0.6796"
"Mixture","UCE-102","MIX{HKY+FO,TPM3+FO}+R2","R2",-6747.0225,-4753.3139,"HKY{1.8746}+FO{0.386123,0.163274,0.139924,0.31068};TPM3{2.59596,9.81237}+FQ",13582.0451,13586.4845,13795.1231,"Mixture",937,19,0.450373532550694,"42.26%",520,10,0.3125,34.0989,6.6558,14.6287,83.5309,NA,"2.0479","0.8511","0.4156","0.0013","0.0109","0.0285","0.0568","0.0571","0.2747"
