"Model","Locus_name","Model_string","Rates","Likelihood","Unconstrained_likelihood","parameters","AIC","AICc","BIC","Best","Length","Ntaxa","Percent_constant","Percent_parsimony_informative","Site_patterns","RF_distance","nRF_distance","wRF_distance","KF_distance","PD_distance","wPD_distance","geodesic_distance","Tree_Length","Sum_int","prop_int","Min.","1st Qu.","Median","Mean","3rd Qu.","Max."
"Mixture","UCE-1029","TPM3u+FO+R2","R2",-5280.0991,-4683.4722,"TPM3u{1.6778,3.9004,1,1.6778,3.9004,1}+FO{0.2945,0.1513,0.1815,0.3727}",10632.1981,10634.5598,10814.3753,"Mixture",1165,16,0.68068669527897,"21.12%",389,8,0.3077,36.0416,7.6299,18.303,82.4165,NA,"0.9829","0.3702","0.3766","0","0.0084","0.0184","0.0332","0.0346","0.1301"
"One_class","UCE-1029","TIM2+F+R2","R2",-5282.3903,-4683.4722,"TIM2{0.5834,2.9255,0.5834,1,1.9325,1}+F{0.3031,0.1549,0.1509,0.391}",10638.7806,10641.2757,10826.0182,"Mixture",1165,16,0.68068669527897,"21.12%",389,8,0.3077,36.064,7.6339,18.303,82.4412,NA,"0.9641","0.3669","0.3806","0","0.0076","0.0184","0.0339","0.0357","0.1336"
"Mixture","UCE-1026","MIX{HKY+FO,JC+FO}+R2","R2",-7464.3202,-6516.1907,"HKY{5.24867}+FO{0.334441,0.213973,0.192341,0.259245};JC",14980.6405,14981.7941,15113.9187,"Mixture",1244,11,0.457395498392283,"32.32%",696,2,0.125,19.9916,5.3137,4.899,39.8734,NA,"2.0778","0.5344","0.2572","0.0129","0.0451","0.0661","0.1054","0.1513","0.3803"
"One_class","UCE-1026","TPM2u+F+R2","R2",-7471.2144,-6516.1907,"TPM2u{0.6888,2.4926,0.6888,1,2.4926,1}+F{0.3187,0.2208,0.1935,0.267}",14994.4288,14995.5824,15127.7071,"Mixture",1244,11,0.457395498392283,"32.32%",696,2,0.125,20.0677,5.3302,4.899,39.9996,NA,"2.0032","0.5196","0.2594","0.0121","0.0445","0.0662","0.1094","0.1556","0.4122"
"Mixture","UCE-1031","TVM+FO+I+R2","I+R2",-8306.9197,-5964.3645,"TVM{0.9987,2.8426,0.5933,1.5343,2.8426,1}+FO{0.3679,0.1714,0.1497,0.3109}",16703.8394,16707.2952,16934.5134,"Mixture",1244,19,0.5,"34.49%",631,6,0.1875,38.207,7.4098,12.5698,98.5183,NA,"2.4366","0.8558","0.3512","0.0011","0.0145","0.0249","0.0684","0.1168","0.3054"
"One_class","UCE-1031","TVM+F+I+R2","I+R2",-8310.415,-5964.3645,"TVM{0.8991,2.6864,0.5148,1.5981,2.6864,1}+F{0.3873,0.1665,0.1347,0.3115}",16710.83,16714.2858,16941.504,"Mixture",1244,19,0.5,"34.49%",631,6,0.1875,38.2533,7.4175,12.5698,98.631,NA,"2.3935","0.8378","0.35","0.0011","0.0142","0.0251","0.0696","0.1185","0.3147"
"Mixture","UCE-1035","MIX{TPM2u+FO,TPM3u+FO,K80+FO}+R2","R2",-8663.9156,-6285.4376,"TPM2u{0.243068,0.995087}+FO{0.481206,0.181791,0.13329,0.203713};TPM3u{3.49422,4.35319}+FO{0.143189,0.0792103,0.260247,0.517353};K2P{6.61341}+FQ",17427.8313,17431.9342,17686.1059,"One_class",1294,19,0.489180834621329,"34.93%",663,2,0.0625,37.7124,7.3469,5.831,97.0673,NA,"3.003","0.9599","0.3196","0.0021","0.0178","0.0515","0.0772","0.108","0.3222"
"One_class","UCE-1035","TPM2u+F+R2","R2",-8687.9952,-6285.4376,"TPM2u{0.5611,2.2343,0.5611,1,2.2343,1}+F{0.3075,0.184,0.2131,0.2954}",17459.9904,17462.8777,17676.9412,"One_class",1294,19,0.489180834621329,"34.93%",663,2,0.0625,37.9919,7.3956,5.831,97.9911,NA,"2.7012","0.8296","0.3071","0","0.0173","0.0541","0.0858","0.1142","0.3759"
"Mixture","UCE-1027","MIX{TIM3+FO,K80+FO}+I+G","I+G4",-11271.8282,-8353.4023,"TIM3{1.54442,3.59371,2.35184}+FO{0.298838,0.186999,0.174971,0.339193};K2P{15.0252}+FQ",22629.6564,22632.5807,22853.2105,"Mixture",1338,18,0.285500747384155,"52.17%",965,6,0.2,34.8536,6.9455,14.7309,89.1148,NA,"3.8784","1.6119","0.4156","0.0019","0.0225","0.0478","0.1136","0.1729","0.8046"
"One_class","UCE-1027","TIM3+F+I+G4","I+G4",-11282.0227,-8353.4023,"TIM3{1.3378,4.4181,1,1.3378,3.1673,1}+F{0.303,0.197,0.1744,0.3256}",22646.0454,22648.7028,22859.2016,"Mixture",1338,18,0.285500747384155,"52.17%",965,6,0.2,34.9974,6.9707,14.7309,89.4407,NA,"3.7473","1.5411","0.4113","0.0019","0.0226","0.0476","0.1175","0.1747","0.8721"
