"Model","Locus_name","Model_string","Rates","Likelihood","Unconstrained_likelihood","parameters","AIC","AICc","BIC","Best","Length","Ntaxa","Percent_constant","Percent_parsimony_informative","Site_patterns","real_base_freq","GMM_pro","GMM_mean","GMM_num_class","RF_distance","nRF_distance","wRF_distance","KF_distance","SPR_distance","path_distance","geodesic_distance","Tree_Length","Sum_int","prop_int","Min.","1st Qu.","Median","Mean","3rd Qu.","Max."
"Mixture","UCE-1026","MIX{HKY+FO,JC+FO}+R2","R2",-7857.7787,-8105.3652,"HKY{5.2608}+FO{0.32587,0.211198,0.194185,0.268747};JC",15767.5574,15768.5158,15905.5621,"Mixture",1492,11,0.528820375335121,"26.94%",768,"0.2353;0.1636;0.1443;0.1993;0.2576","0.341;0.1327;0.1091;0.0967;0.1298;0.0744;0.0891;0.0272","0.0071;0.3182;0.4704;0.7176;0.9092;1.1427;1.3804;1.7232",8,6,0.3333,0.731,0.2147,2,0.8667,NA,"2.1177","0.539","0.2545","0","0.0429","0.0653","0.102","0.1463","0.3888"
"One_class","UCE-1026","TPM2u+F+R2","R2",-7865.1081,-8105.3652,"TPM2u{0.6938,2.5125,0.6938,1,2.5125,1}+F{0.3169,0.2204,0.1943,0.2684}",15782.2162,15783.1746,15920.2209,"Mixture",1492,11,0.528820375335121,"26.94%",768,"0.2353;0.1636;0.1443;0.1993;0.2576","0.341;0.1327;0.1091;0.0967;0.1298;0.0744;0.0891;0.0272","0.0071;0.3182;0.4704;0.7176;0.9092;1.1427;1.3804;1.7232",8,6,0.3333,0.7045,0.1995,2,0.9058,NA,"2.0399","0.5238","0.2568","0","0.0416","0.0655","0.1059","0.1498","0.4219"
"Mixture","UCE-1025","MIX{TPM3u+FO,TPM3+FO,JC+FO}+G","G4",-11994.5876,-10167.4955,"TPM3u{4.81721,5.64412}+FO{0.340597,0.142344,0.149507,0.367552};TPM3{0.241849,3.12562}+FQ;JC",24079.1752,24081.8324,24321.2867,"Mixture",1604,19,0.368453865336658,"39.90%",1045,"0.2154;0.1242;0.1181;0.2142;0.3281","0.1716;0.2071;0.121;0.1289;0.1008;0.1097;0.1032;0.0578","0.0174;0.2373;0.4214;0.6477;0.8477;1.0378;1.3159;1.6281",8,10,0.2941,1.5312,0.6762,3,2.7727,NA,"3.8465","1.0505","0.2731","0","0.027","0.0462","0.1007","0.1235","0.7887"
"One_class","UCE-1025","TPM3u+F+G4","G4",-12009.7475,-10167.4955,"TPM3u{1.6089,3.8798,1,1.6089,3.8798,1}+F{0.3205,0.1849,0.1758,0.3188}",24101.495,24103.6998,24322.0854,"Mixture",1604,19,0.368453865336658,"39.90%",1045,"0.2154;0.1242;0.1181;0.2142;0.3281","0.1716;0.2071;0.121;0.1289;0.1008;0.1097;0.1032;0.0578","0.0174;0.2373;0.4214;0.6477;0.8477;1.0378;1.3159;1.6281",8,10,0.2941,1.4421,0.5955,3,2.3489,NA,"3.6255","0.9912","0.2734","0","0.0272","0.0478","0.1068","0.1282","0.8685"
"Mixture","UCE-1027","MIX{TIM3+FO,K80+FO,TPM3+FO}+I+G","I+G4",-11824.2394,-10615.9097,"TIM3{4.89148,9.62608,5.69595}+FO{0.349443,0.142434,0.136994,0.371128};K2P{15.7923}+FQ;TPM3{0.353799,1.27722}+FQ",23740.4788,23743.0758,23990.968,"Mixture",1712,18,0.419976635514019,"40.77%",1058,"0.1915;0.1241;0.1113;0.204;0.3691","0.1689;0.2093;0.1512;0.0656;0.0947;0.1224;0.091;0.0731;0.0238","0.0131;0.257;0.5116;0.6651;0.8103;0.9939;1.2084;1.4342;1.7122",9,10,0.3125,1.9281,0.7096,3,5.0858,NA,"4.093","1.7518","0.428","0","0.0221","0.0468","0.1112","0.1668","0.8075"
"One_class","UCE-1027","TIM3+F+I+G4","I+G4",-11845.8658,-10615.9097,"TIM3{1.3439,4.3691,1,1.3439,3.1614,1}+F{0.3035,0.1967,0.1765,0.3233}",23773.7316,23775.7939,23996.9937,"Mixture",1712,18,0.419976635514019,"40.77%",1058,"0.1915;0.1241;0.1113;0.204;0.3691","0.1689;0.2093;0.1512;0.0656;0.0947;0.1224;0.091;0.0731;0.0238","0.0131;0.257;0.5116;0.6651;0.8103;0.9939;1.2084;1.4342;1.7122",9,10,0.3125,1.6422,0.5641,3,3.8194,NA,"3.7808","1.5469","0.4091","0","0.0224","0.0477","0.1204","0.1768","0.9533"
"Mixture","UCE-1029","TPM3u+FO+R2","R2",-5359.1577,-5030.0138,"TPM3u{1.6661,3.8936,1,1.6661,3.8936,1}+FO{0.2944,0.1517,0.1794,0.3745}",10790.3155,10792.5846,10973.8867,"Mixture",1211,16,0.688687035507845,"20.31%",419,"0.2732;0.1396;0.1359;0.3528;0.0985","0.4362;0.181;0.1177;0.0347;0.067;0.0749;0.0567;0.0317","0.0306;0.0306;0.3524;0.5142;0.734;0.9675;1.2596;1.657",8,12,0.4286,1.8908,0.4543,3,4.7022,NA,"0.992","0.3726","0.3756","0","0.008","0.0174","0.0325","0.0348","0.1309"
"One_class","UCE-1029","TIM2+F+R2","R2",-5360.5806,-5030.0138,"TIM2{0.5879,2.9425,0.5879,1,1.949,1}+F{0.3031,0.1549,0.1508,0.3913}",10795.1613,10797.5586,10983.8318,"Mixture",1211,16,0.688687035507845,"20.31%",419,"0.2732;0.1396;0.1359;0.3528;0.0985","0.4362;0.181;0.1177;0.0347;0.067;0.0749;0.0567;0.0317","0.0306;0.0306;0.3524;0.5142;0.734;0.9675;1.2596;1.657",8,12,0.4286,1.9144,0.4599,3,4.7318,NA,"0.9736","0.3694","0.3794","0","0.0075","0.0174","0.0331","0.0359","0.1343"
"Mixture","UCE-1031","MIX{TPM2u+FO,F81+FO,HKY+FO,JC+FO}+I+R2","I+R2",-8489.1361,-6753.9427,"TPM2u{0.117528,6.03992}+FO{0.629081,0.0399628,0.0335804,0.297376};F81+FO{0.635395,0.136892,0.221684,0.00602833};HKY{3.15755}+FO{0.290516,0.197843,0.167706,0.343935};JC",17084.2721,17088.682,17360.3671,"One_class",1352,19,0.527366863905325,"31.73%",694,"0.3191;0.1373;0.1115;0.256;0.1762","0.4157;0.0862;0.0341;0.1015;0.1064;0.0933;0.0747;0.0639;0.0243","0.0014;0.2658;0.2659;0.5268;0.7698;0.979;1.2023;1.4684;1.7332",9,10,0.2941,1.254,0.3246,4,1.4392,NA,"2.8838","1.0662","0.3697","0","0.013","0.0246","0.0673","0.1151","0.3093"
"One_class","UCE-1031","TVM+F+I+R2","I+R2",-8511.3258,-6753.9427,"TVM{0.8882,2.7072,0.5187,1.6001,2.7072,1}+F{0.3873,0.1667,0.1353,0.3107}",17112.6515,17115.8215,17347.0718,"One_class",1352,19,0.527366863905325,"31.73%",694,"0.3191;0.1373;0.1115;0.256;0.1762","0.4157;0.0862;0.0341;0.1015;0.1064;0.0933;0.0747;0.0639;0.0243","0.0014;0.2658;0.2659;0.5268;0.7698;0.979;1.2023;1.4684;1.7332",9,10,0.2941,1.2506,0.2958,4,1.9774,NA,"2.4224","0.848","0.3501","0","0.0098","0.0304","0.0801","0.1263","0.3873"
