"Locus_name","tree_1","tree_2","RF_distance","nRF_distance","wRF_distance","KF_distance","SPR_distance","path_distance","geodesic_distance"
"UCE-1026","One_class","Mixture",4,0.2222,0.1702,0.0708,1,0.1705,NA
"UCE-1031","One_class","Mixture",0,0,0.3621,0.103,0,1.0737,NA
"UCE-1027","One_class","Mixture",0,0,0.1851,0.0855,0,0.633,NA
"UCE-102","One_class","Mixture",0,0,0.0743,0.0253,0,0.2123,NA
"UCE-1025","One_class","Mixture",0,0,0.0079,0.0028,0,0.0159,NA
"UCE-1035","One_class","Mixture",0,0,0.2135,0.0626,0,0.7088,NA
"UCE-1029","One_class","Mixture",4,0.1429,0.0119,0.0036,1,0.0228,NA
"UCE-1013","One_class","Mixture",10,0.2941,1.0867,0.2807,1,2.1046,NA
"UCE-1037","One_class","Mixture",0,0,0.1436,0.048,0,0.6014,NA
"UCE-1010","One_class","Mixture",36,0.2857,0.0644,0.0207,9,0.0938,NA
"UCE-1004","One_class","Mixture",50,0.463,0.0847,0.0206,11,0.1176,NA
"UCE-1034","One_class","Mixture",48,0.4444,0.1116,0.0299,9,0.1625,NA
"UCE-1005","One_class","Mixture",44,0.3385,0.0761,0.0253,8,0.142,NA
"UCE-1021","One_class","Mixture",58,0.5918,0.0412,0.0102,11,0.0697,NA
"UCE-1018","One_class","Mixture",48,0.4898,0.0741,0.0214,8,0.14,NA
"UCE-1014","One_class","Mixture",54,0.4576,0.1193,0.0212,10,0.1564,NA
"UCE-1012","One_class","Mixture",28,0.2222,0.0137,0.0049,8,0.0362,NA
"UCE-1040","One_class","Mixture",26,0.2955,0.0642,0.0286,7,0.151,NA
"UCE-103","One_class","Mixture",0,0,0.005,0.0013,0,0.0095,NA
"UCE-1017","One_class","Mixture",48,0.4211,0.3619,0.1689,6,1.421,NA
"UCE-101","One_class","Mixture",96,0.5647,0.2064,0.0417,16,0.3332,NA
"UCE-1008","One_class","Mixture",48,0.3038,0.4989,0.0865,9,0.8834,NA
"UCE-1003","One_class","Mixture",32,0.2462,0.0213,0.008,7,0.068,NA
"UCE-1036","One_class","Mixture",30,0.2679,0.0134,0.0066,8,0.0351,NA
"UCE-1043","One_class","Mixture",20,0.2703,3e-04,1e-04,6,5e-04,NA
"UCE-1058","One_class","Mixture",0,0,0.0015,5e-04,0,0.002,NA
"UCE-1039","One_class","Mixture",56,0.4,0.4411,0.082,11,0.8145,NA
"UCE-1041","One_class","Mixture",60,0.5882,0.032,0.011,12,0.0618,NA
"UCE-1052","One_class","Mixture",86,0.4574,0.6159,0.0951,14,1.229,NA
"UCE-1048","One_class","Mixture",22,0.1864,0.1817,0.1041,3,0.6079,NA
