"Model","Locus_name","Model_string","Rates","Likelihood","Unconstrained_likelihood","parameters","AIC","AICc","BIC","Best","Length","Ntaxa","Percent_constant","Percent_parsimony_informative","Site_patterns","RF_distance","nRF_distance","wRF_distance","KF_distance","PD_distance","wPD_distance","geodesic_distance","Tree_Length","Sum_int","prop_int","Min.","1st Qu.","Median","Mean","3rd Qu.","Max."
"Mixture","UCE-1029","TPM3u+FO+R2","R2",-5359.1577,-5030.0138,"TPM3u{1.6661,3.8936,1,1.6661,3.8936,1}+FO{0.2944,0.1517,0.1794,0.3745}",10790.3155,10792.5846,10973.8867,"Mixture",1211,16,0.688687035507845,"20.31%",419,10,0.3846,36.4541,7.818,19.0526,83.5382,NA,"0.992","0.3726","0.3756","0","0.0084","0.0184","0.0336","0.0348","0.1309"
"One_class","UCE-1029","TIM2+F+R2","R2",-5360.5806,-5030.0138,"TIM2{0.5879,2.9425,0.5879,1,1.949,1}+F{0.3031,0.1549,0.1508,0.3913}",10795.1613,10797.5586,10983.8318,"Mixture",1211,16,0.688687035507845,"20.31%",419,10,0.3846,36.4777,7.8218,19.0526,83.5626,NA,"0.9736","0.3694","0.3794","0","0.0076","0.0184","0.0342","0.036","0.1343"
"Mixture","UCE-1026","MIX{HKY+FO,JC+FO}+R2","R2",-7857.7787,-8105.3652,"HKY{5.2608}+FO{0.32587,0.211198,0.194185,0.268747};JC",15767.5574,15768.5158,15905.5621,"Mixture",1492,11,0.528820375335121,"26.94%",768,4,0.25,20.0822,5.2976,6.4807,39.9309,NA,"2.1177","0.539","0.2545","0.013","0.0451","0.068","0.1074","0.1544","0.3888"
"One_class","UCE-1026","TPM2u+F+R2","R2",-7865.1081,-8105.3652,"TPM2u{0.6938,2.5125,0.6938,1,2.5125,1}+F{0.3169,0.2204,0.1943,0.2684}",15782.2162,15783.1746,15920.2209,"Mixture",1492,11,0.528820375335121,"26.94%",768,4,0.25,20.1657,5.3146,6.4807,40.0614,NA,"2.0399","0.5238","0.2568","0.0124","0.0443","0.0681","0.1115","0.1588","0.4219"
"Mixture","UCE-102","MIX{HKY+FO,TPM3+FO}+R2","R2",-9769.9129,-9137.5876,"HKY{1.92921}+FO{0.388276,0.150537,0.147767,0.31342};TPM3{2.18298,8.01635}+FQ",19627.8258,19630.5178,19862.0743,"Mixture",1516,19,0.439973614775726,"38.46%",946,8,0.25,38.4354,7.56,13.4164,98.3819,NA,"2.7029","1.158","0.4284","0.0025","0.0149","0.0362","0.0748","0.0926","0.3209"
"One_class","UCE-102","HKY+F+R2","R2",-9783.308,-9137.5876,"HKY{1,2.9345,1,1,2.9345,1}+F{0.329,0.1996,0.1816,0.2898}",19648.616,19650.9525,19866.893,"Mixture",1516,19,0.439973614775726,"38.46%",946,8,0.25,38.5325,7.5757,13.4164,98.6269,NA,"2.6171","1.1175","0.427","0.0024","0.0146","0.0361","0.0772","0.0939","0.3346"
"Mixture","UCE-1035","MIX{TPM2u+FO,TPM2+FO}+R2","R2",-9305.619,-8216.1472,"TPM2u{0.263195,1.64301}+FO{0.319722,0.167934,0.198821,0.313523};TPM2{10.0626,15.022}+FQ",18701.2381,18703.9457,18942.5286,"One_class",1575,19,0.52952380952381,"28.70%",774,0,0,38.0433,7.5563,0,98.6466,NA,"2.9818","0.9219","0.3092","0.0023","0.0185","0.0554","0.0822","0.113","0.3463"
"One_class","UCE-1035","TPM2u+F+R2","R2",-9314.4227,-8216.1472,"TPM2u{0.5736,2.2276,0.5736,1,2.2276,1}+F{0.3076,0.1845,0.2129,0.295}",18712.8455,18715.2032,18938.0499,"One_class",1575,19,0.52952380952381,"28.70%",774,0,0,38.1481,7.5701,0,98.9301,NA,"2.877","0.8824","0.3067","0","0.0189","0.0569","0.0852","0.1165","0.3715"
"Mixture","UCE-1013","MIX{K3Pu+FO,K80+FO,F81+FO}+I+R2","I+R2",-13967.2031,-9171.968,"K3Pu{1.93617,0.674764}+FO{0.25464,0.203853,0.196083,0.345425};K2P{40.4259}+FQ;F81+FO{0.591929,0.101867,0.238891,0.0673124}",28032.4062,28035.9466,28290.5491,"Mixture",1434,19,0.274058577405858,"54.60%",1086,10,0.3125,35.5711,7.0285,22.1359,92.2488,NA,"6.0605","2.0121","0.332","0.003","0.0373","0.071","0.1549","0.2692","0.5882"
"One_class","UCE-1013","TVM+F+I+R2","I+R2",-13999.0926,-9171.968,"TVM{0.878,2.1447,0.4718,0.9303,2.1447,1}+F{0.3266,0.176,0.1818,0.3155}",28088.1851,28091.1678,28325.2552,"Mixture",1434,19,0.274058577405858,"54.60%",1086,6,0.1875,35.9864,7.1324,17.088,93.6332,NA,"5.4225","1.6787","0.3096","0.0035","0.0288","0.0675","0.1732","0.2863","0.7905"
